#OTU ID,SOURCE,REPLICATE,TIME,AB,PAAB,TT,post
OR-T0-1,OR,1,0,B,0,OR0,B
OR-T0-2,OR,2,0,B,0,OR0,B
OR-T0-3,OR,3,0,B,0,OR0,B
OR-T11-1,OR,1,11,B,0,OR11,B
OR-T11-2,OR,2,11,B,0,OR11,B
OR-T11-3,OR,3,11,B,0,OR11,B
OR-T24-1,OR,1,24,D,1,OR24,D
OR-T24-2,OR,2,24,D,1,OR24,D
OR-T24-3,OR,3,24,D,1,OR24,D
OR-T30-1,OR,1,30,A,0,OR30,D
OR-T30-2,OR,2,30,A,0,OR30,D
OR-T30-3,OR,3,30,A,0,OR30,D
VA-T0-1,VA,1,0,B,0,VA0,B
VA-T0-2,VA,2,0,B,0,VA0,B
VA-T0-3,VA,3,0,B,0,VA0,B
VA-T11-1,VA,1,11,B,0,VA11,B
VA-T11-2,VA,2,11,B,0,VA11,B
VA-T11-3,VA,3,11,B,0,VA11,B
VA-T24-1,VA,1,24,D,1,VA24,D
VA-T24-2,VA,2,24,D,1,VA24,D
VA-T24-3,VA,3,24,D,1,VA24,D
VA-T30-1,VA,1,30,A,0,VA30,D
VA-T30-2,VA,2,30,A,0,VA30,D
VA-T30-3,VA,3,30,A,0,VA30,D
WW-T0-1,WW,1,0,B,0,WW0,B
WW-T0-2,WW,2,0,B,0,WW0,B
WW-T0-3,WW,3,0,B,0,WW0,B
WW-T11-1,WW,1,11,B,0,WW11,B
WW-T11-2,WW,2,11,B,0,WW11,B
WW-T11-3,WW,3,11,B,0,WW11,B
WW-T24-1,WW,1,24,D,1,WW24,D
WW-T24-2,WW,2,24,D,1,WW24,D
WW-T24-3,WW,3,24,D,1,WW24,D
WW-T30-1,WW,1,30,A,0,WW30,D
WW-T30-2,WW,2,30,A,0,WW30,D
WW-T30-3,WW,3,30,A,0,WW30,D